neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
261,FATİH,SİLİVRİ,45.5,56.93,51.99
262,FATİH,TUZLA,58.69,71.09,65.02
263,FATİH,ÇATALCA,53.14,60.21,56.45
264,FATİH SULTAN MEHMET,SARIYER,34.97,69.21,53.34
265,FATİH SULTAN MEHMET,ÜMRANİYE,40.32,75.17,56.06
266,FENER,SİLİVRİ,98.48,88.84,94.72
267,FENERBAHÇE,KADIKÖY,20.36,29.51,24.7
268,FENERYOLU,KADIKÖY,23.72,40.37,30.72
269,FERAH,ÜSKÜDAR,22.66,28.62,25.18
270,FERAHEVLER,SARIYER,29.31,35.18,31.72
271,FERHATPAŞA,ATAŞEHİR,28.2,44.25,35.51
272,FERİKÖY,ŞİŞLİ,22.26,28.16,24.74
273,FETİH,ATAŞEHİR,28.13,46.89,36.1
274,FETİHTEPE,BEYOĞLU,26.42,47.27,35.79
275,FEVZİ ÇAKMAK,BAHÇELİEVLER,18.09,32.82,24.36
276,FEVZİ ÇAKMAK,BAĞCILAR,15.67,24.84,19.18
277,FEVZİ ÇAKMAK,ESENLER,34.78,50.2,41.18
278,FEVZİ ÇAKMAK,GAZİOSMANPAŞA,17.04,26.4,20.62
279,FEVZİ ÇAKMAK,KÜÇÜKÇEKMECE,19.2,27.16,22.52
280,FEVZİ ÇAKMAK,PENDİK,30.19,48.3,37.34
281,FEYZULLAH,MALTEPE,26.46,41.89,33.83
282,FINDIKLI,MALTEPE,26.25,33.04,28.93
283,FULYA,ŞİŞLİ,18.92,38.12,27.81
284,FİKİRTEPE,KADIKÖY,36.25,52.86,44.93
285,FİRUZAĞA,BEYOĞLU,19.04,30.72,24.43
286,FİRUZKÖY,AVCILAR,23.39,36.44,27.96
287,GARİPÇE,SARIYER,99.66,91.01,96.36
288,GAYRETTEPE,BEŞİKTAŞ,24.6,50.01,36.31
289,GAZİ,SULTANGAZİ,19.2,28.72,22.61
290,GAZİTEPE,SİLİVRİ,96.17,86.03,92.08
291,GENÇOSMAN,GÜNGÖREN,20.08,27.45,23.32
292,GEREDELİ,ŞİLE,53.14,60.21,56.45
293,GÖKALP,ZEYTİNBURNU,28.85,34.84,31.92
294,GÖKEVLER,ESENYURT,34.79,55.98,46.01
295,GÖKMAŞLI,ŞİLE,53.14,60.21,56.45
296,GÖKSU,BEYKOZ,25.6,32.05,28.3
297,GÖKSU,ŞİLE,53.14,60.21,56.45
298,GÖKTÜRK MERKEZ,EYÜPSULTAN,46.63,67.2,55.21
299,GÖKÇEALİ,ÇATALCA,39.63,43.9,41.34
300,GÖLLÜ,BEYKOZ,95.9,83.46,90.43
301,GÖRELE,BEYKOZ,46.23,56.74,50.77
302,GÖZTEPE,BAĞCILAR,23.81,46.6,34.69
303,GÖZTEPE,BEYKOZ,25.6,32.05,28.3
304,GÖZTEPE,KADIKÖY,19.17,29.26,23.25
305,GÖÇBEYLİ,PENDİK,82.11,76.93,79.99
306,GÖÇE,ŞİLE,53.14,60.21,56.45
307,GÜLBAHAR,ŞİŞLİ,19.02,33.85,25.87
308,GÜLENSU,MALTEPE,22.12,23.69,22.92
309,GÜLLÜ BAĞLAR,PENDİK,34.12,48.33,39.61
310,GÜLSUYU,MALTEPE,26.64,40.41,32.41
311,GÜLTEPE,KAĞITHANE,16.56,22.92,19.13
312,GÜLTEPE,KÜÇÜKÇEKMECE,27.58,45.18,35.99
313,GÜMÜŞDERE,SARIYER,96.06,85.34,91.28
314,GÜMÜŞPALA,AVCILAR,29.5,44.09,35.0
315,GÜMÜŞPINAR,KARTAL,26.35,36.59,31.16
316,GÜMÜŞPINAR,ÇATALCA,53.14,60.21,56.45
317,GÜMÜŞSUYU,BEYKOZ,46.57,53.77,49.55
318,GÜMÜŞSUYU,BEYOĞLU,19.5,31.68,25.49
319,GÜMÜŞYAKA,SİLİVRİ,68.1,69.13,68.25
320,GÜNEŞLİ,BAĞCILAR,18.08,30.86,23.13
321,GÜNEŞTEPE,GÜNGÖREN,18.84,25.41,21.65
322,GÜNGÖREN,ÇEKMEKÖY,47.89,63.26,54.98
