||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Beykoz/Beykoz Bel./Gümüşsuyu Mah.)-40237|12968.0|
|İstanbul(Beykoz/Beykoz Bel./İncirköy Mah.)-40238|16348.0|
|İstanbul(Beykoz/Beykoz Bel./İshaklı Mah.)-191731|1367.0|
|İstanbul(Beykoz/Beykoz Bel./Kanlıca Mah.)-40242|3885.0|
|İstanbul(Beykoz/Beykoz Bel./Kavacık Mah.)-40247|22383.0|
|İstanbul(Beykoz/Beykoz Bel./Kaynarca Mah.)-191715|772.0|
|İstanbul(Beykoz/Beykoz Bel./Kılıçlı Mah.)-191733|547.0|
|İstanbul(Beykoz/Beykoz Bel./Mahmutşevketpaşa Mah.)-191723|1827.0|
|İstanbul(Beykoz/Beykoz Bel./Merkez Mah.)-40251|5785.0|
|İstanbul(Beykoz/Beykoz Bel./Öğümce Mah.)-191735|474.0|
|İstanbul(Beykoz/Beykoz Bel./Örnekköy Mah.)-191721|4345.0|
|İstanbul(Beykoz/Beykoz Bel./Ortaçeşme Mah.)-40254|7723.0|
|İstanbul(Beykoz/Beykoz Bel./Paşabahçe Mah.)-40239|3659.0|
|İstanbul(Beykoz/Beykoz Bel./Paşamandıra Mah.)-191737|1373.0|
|İstanbul(Beykoz/Beykoz Bel./Polonezköy Mah.)-191717|388.0|
|İstanbul(Beykoz/Beykoz Bel./Poyrazköy Mah.)-191719|881.0|
|İstanbul(Beykoz/Beykoz Bel./Riva Mah.)-191707|3978.0|
|İstanbul(Beykoz/Beykoz Bel./Rüzgarlıbahçe Mah.)-40248|7879.0|
|İstanbul(Beykoz/Beykoz Bel./Soğuksu Mah.)-40249|10668.0|
|İstanbul(Beykoz/Beykoz Bel./Tokatköy Mah.)-40255|13719.0|
|İstanbul(Beykoz/Beykoz Bel./Yalıköy Mah.)-40252|5102.0|
|İstanbul(Beykoz/Beykoz Bel./Yavuz Selim Mah.)-40261|5552.0|
|İstanbul(Beykoz/Beykoz Bel./Yeni Mahalle Mah.)-40245|18933.0|
|İstanbul(Beykoz/Beykoz Bel./Zerzavatçı Mah.)-191739|1078.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Adnan Kahveci Mah.)-40869|111164.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Barış Mah.)-40875|55725.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Büyükşehir Mah.)-40877|21125.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Cumhuriyet Mah.)-40874|26174.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Dereağzı Mah.)-40870|21965.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Gürpınar Mah.)-40867|20388.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Kavaklı Mah.)-40873|67292.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Marmara Mah.)-40893|31850.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Sahil Mah.)-40876|8374.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel./Yakuplu Mah.)-40894|58863.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Arap Cami Mah.)-40299|89.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Asmalı Mescit Mah.)-40281|438.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bedrettin Mah.)-40300|594.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bereketzade Mah.)-40298|369.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bostan Mah.)-40291|1788.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Bülbül Mah.)-40292|2657.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Camiikebir Mah.)-40301|2475.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Çatma Mescit Mah.)-40283|2046.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Cihangir Mah.)-40275|3190.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Çukur Mah.)-40293|1746.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Emekyemez Mah.)-40269|168.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Evliya Çelebi Mah.)-40282|258.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Fetihtepe Mah.)-40262|12301.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Firuzağa Mah.)-40276|3675.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Gümüşsuyu Mah.)-40278|1954.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Hacıahmet Mah.)-40280|14999.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Hacımimi Mah.)-40285|1136.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Halıcıoğlu Mah.)-40304|12420.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Hüseyinağa Mah.)-40272|483.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./İstiklal Mah.)-40279|5048.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kadımehmet Efendi Mah.)-40267|8877.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kalyoncu Kulluğu Mah.)-40270|2304.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kamer Hatun Mah.)-40271|662.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kaptanpaşa Mah.)-40264|18630.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Katipmustafa Çelebi Mah.)-40274|699.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Keçeci Piri Mah.)-40302|13462.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kemankeş Karamustafapaşa Mah.)-40297|128.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kılıçali Paşa Mah.)-40296|2132.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kocatepe Mah.)-40277|1401.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Küçük Piyale Mah.)-40268|8330.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kulaksız Mah.)-40266|8650.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kuloğlu Mah.)-40288|1349.0|
